avatar,player_id,@id,url,name,username,title,followers,country,last_online,joined,status,is_streamer,verified,league,location,twitch_url
https://images.chesscomfiles.com/uploads/v1/user/80945104.a4c0cb77.200x200o.6ab74b7fd795.png,80945104,https://api.chess.com/pub/player/011jee,https://www.chess.com/member/011Jee,Jee 011,011jee,WFM,1,https://api.chess.com/pub/country/SE,1677878463,1590836022,premium,False,False,Wood,,
,48218688,https://api.chess.com/pub/player/017290,https://www.chess.com/member/017290,,017290,FM,0,https://api.chess.com/pub/country/IT,1565005348,1532680233,premium,False,False,,,
,29975392,https://api.chess.com/pub/player/01roman,https://www.chess.com/member/01Roman,Роман Аухатов,01roman,FM,24,https://api.chess.com/pub/country/RS,1678432112,1474114438,premium,False,False,Silver,,
,17513144,https://api.chess.com/pub/player/03revilo,https://www.chess.com/member/03revilo,revilo 03,03revilo,FM,17,https://api.chess.com/pub/country/DE,1677984974,1401551849,premium,False,False,Elite,,
https://images.chesscomfiles.com/uploads/v1/user/73320100.6c8e4f24.200x200o.f9f3d478a069.jpeg,73320100,https://api.chess.com/pub/player/0gzpanda,https://www.chess.com/member/0gZPanda,,0gzpanda,IM,230,https://api.chess.com/pub/country/US,1678479409,1583872513,premium,False,False,Silver,,
,56553596,https://api.chess.com/pub/player/0wl0wl,https://www.chess.com/member/0wl0wl,,0wl0wl,FM,11,https://api.chess.com/pub/country/NL,1665661893,1548513835,premium,False,False,Stone,,
https://images.chesscomfiles.com/uploads/v1/user/187581779.d59fd6cf.200x200o.1126b6940564.png,187581779,https://api.chess.com/pub/player/107degrees,https://www.chess.com/member/107degrees,Richard Herbst,107degrees,NM,3,https://api.chess.com/pub/country/US,1678326166,1655814344,premium,False,False,Elite,,
https://images.chesscomfiles.com/uploads/v1/user/19205170.00723272.200x200o.6943d6d69dd3.jpeg,19205170,https://api.chess.com/pub/player/11aresss,https://www.chess.com/member/11Aresss,Mister Fox,11aresss,FM,4,https://api.chess.com/pub/country/RU,1467718634,1412688234,premium,False,False,,Oslo,
https://images.chesscomfiles.com/uploads/v1/user/37593768.3d27d64e.200x200o.d3b1902659a8.jpeg,37593768,https://api.chess.com/pub/player/11kevin,https://www.chess.com/member/11kevin,Krishna teja,11kevin,IM,81,https://api.chess.com/pub/country/IN,1678179527,1501995363,premium,False,False,Stone,,
https://images.chesscomfiles.com/uploads/v1/user/18800602.e26b721f.200x200o.e738019a328a.jpeg,18800602,https://api.chess.com/pub/player/123lt,https://www.chess.com/member/123lt,Tingjie Lei,123lt,GM,99,https://api.chess.com/pub/country/CN,1674891057,1410059361,premium,False,True,Stone,,
https://images.chesscomfiles.com/uploads/v1/user/29499974.39041f89.200x200o.f6478a5ae8e2.jpeg,29499974,https://api.chess.com/pub/player/124chess,https://www.chess.com/member/124chess,Дмитрий Хегай,124chess,GM,75,https://api.chess.com/pub/country/RU,1678400534,1471316272,premium,False,False,Stone,Красноярск,
,23228356,https://api.chess.com/pub/player/12teen,https://www.chess.com/member/12teen,Janak Awatramani,12teen,NM,418,https://api.chess.com/pub/country/CA,1678469008,1436832385,premium,False,False,Bronze,Vancouver,
https://images.chesscomfiles.com/uploads/v1/user/156586953.e291caec.200x200o.ba273ea5b8be.jpeg,156586953,https://api.chess.com/pub/player/13queen31,https://www.chess.com/member/13Queen31,Anastasiia,13queen31,WFM,6,https://api.chess.com/pub/country/UA,1665872500,1633111084,premium,False,False,Stone,,
https://images.chesscomfiles.com/uploads/v1/user/14775486.9072453d.200x200o.50bb2d10a7d5.jpeg,14775486,https://api.chess.com/pub/player/140mariam,https://www.chess.com/member/140mariam,Mariam Avetisyan,140mariam,WFM,63,https://api.chess.com/pub/country/AM,1677259144,1385829847,premium,False,False,Bronze,,
https://images.chesscomfiles.com/uploads/v1/user/42853774.f5b76479.200x200o.a0a544c537e3.jpeg,42853774,https://api.chess.com/pub/player/14sokol88,https://www.chess.com/member/14Sokol88,Artiom Frolov,14sokol88,FM,8,https://api.chess.com/pub/country/RU,1648832503,1517362379,premium,False,False,,"Russia, Perm",
https://images.chesscomfiles.com/uploads/v1/user/2636688.68fd1a97.200x200o.758c7fbf0941.jpeg,2636688,https://api.chess.com/pub/player/16wise,https://www.chess.com/member/16wise,Ali Morshedi,16wise,FM,4,https://api.chess.com/pub/country/US,1667095638,1268573375,premium,False,False,Crystal,,
