avatar,player_id,@id,url,name,username,title,followers,country,last_online,joined,status,is_streamer,verified,league,twitch_url,location,fide,rapid_rating_best,rapid_rating_last,rapid_rating_rd,rapid_record_win,rapid_record_draw,rapid_record_loss,blitz_rating_best,blitz_rating_last,blitz_rating_rd,blitz_record_win,blitz_record_draw,blitz_record_loss,bullet_rating_best,bullet_rating_last,bullet_rating_rd,bullet_record_win,bullet_record_draw,bullet_record_loss
https://images.chesscomfiles.com/uploads/v1/user/18800602.e26b721f.200x200o.e738019a328a.jpeg,18800602,https://api.chess.com/pub/player/123lt,https://www.chess.com/member/123lt,Tingjie Lei,123lt,GM,99,https://api.chess.com/pub/country/CN,1674891057,1410059361,premium,False,True,Stone,,,0,2550,2477,67,34,17,14,2707,2704,50,751,138,688,2824,2725,79,255,23,197
https://images.chesscomfiles.com/uploads/v1/user/10968500.f31e4e06.200x200o.2418d3cb8a26.jpeg,10968500,https://api.chess.com/pub/player/a-fier,https://www.chess.com/member/A-Fier,Alex Fier,a-fier,GM,1280,https://api.chess.com/pub/country/BR,1678292918,1361966117,premium,True,True,Silver,https://twitch.tv/gmalexfier,,2600,2589,2457,79,71,31,44,2890,2787,37,1560,342,1024,2839,2670,79,198,18,144
https://images.chesscomfiles.com/uploads/v1/user/43428066.c8aab3ca.200x200o.2ee4a34c1c49.jpeg,43428066,https://api.chess.com/pub/player/actorxu,https://www.chess.com/member/ActorXu,Xu Yi,actorxu,GM,412,https://api.chess.com/pub/country/CN,1678454841,1518859208,premium,False,True,Crystal,,Shanghai,2524,2714,2481,68,77,53,44,2927,2891,44,501,100,189,2625,2560,103,84,13,46
https://images.chesscomfiles.com/uploads/v1/user/34686420.2f5d9948.200x200o.e7ac0ff18841.jpg,34686420,https://api.chess.com/pub/player/adham_fawzy,https://www.chess.com/member/Adham_Fawzy,Adham Fawzy,adham_fawzy,GM,1423,https://api.chess.com/pub/country/EG,1678448194,1491891963,premium,False,True,Silver,,Alexandria,2476,2541,2408,102,21,5,13,2878,2793,62,2899,724,3034,3010,3012,31,469,55,335
https://images.chesscomfiles.com/uploads/v1/user/6179690.a3b2c80b.200x200o.c53fee8ba6e8.png,6179690,https://api.chess.com/pub/player/akshayraj_kore,https://www.chess.com/member/Akshayraj_Kore,Akshayraj Kore,akshayraj_kore,GM,107,https://api.chess.com/pub/country/US,1678467885,1322112601,premium,False,True,Champion,,Ashburn,2585,2000,1977,171,8,0,1,2745,2611,28,5070,752,3401,2610,2583,53,109,11,64
https://images.chesscomfiles.com/uploads/v1/user/2534106.a23fc73f.200x200o.9619bd05677b.jpeg,2534106,https://api.chess.com/pub/player/alexanderl,https://www.chess.com/member/AlexanderL,Aleksandr Lenderman,alexanderl,GM,1505,https://api.chess.com/pub/country/US,1678495576,1265635556,premium,True,True,Bronze,https://twitch.tv/gmlenderman,New York City,2706,2805,2617,63,174,54,31,2997,2965,47,1637,305,474,2815,2752,112,558,45,220
,37093806,https://api.chess.com/pub/player/aleksey_sorokin,https://www.chess.com/member/Aleksey_Sorokin,Aleksey Sorokin,aleksey_sorokin,GM,207,https://api.chess.com/pub/country/US,1678489156,1500279399,premium,False,True,Silver,,Lubbock,0,2623,2598,92,33,6,8,2968,2931,55,3912,987,2546,2849,2842,82,443,76,313
https://images.chesscomfiles.com/uploads/v1/user/10322550.a6b5e4ad.200x200o.34f276057c86.jpeg,10322550,https://api.chess.com/pub/player/alexander_donchenko,https://www.chess.com/member/Alexander_Donchenko,Alexander Donchenko,alexander_donchenko,GM,487,https://api.chess.com/pub/country/DE,1678471356,1357497907,premium,False,True,Crystal,,,2668,2789,2522,69,55,9,22,2928,2834,54,2152,411,1106,2901,2699,59,978,91,513
https://images.chesscomfiles.com/uploads/v1/user/10767030.e0825f66.200x200o.7e9a1d92598d.jpeg,10767030,https://api.chess.com/pub/player/andreikka,https://www.chess.com/member/Andreikka,Andrey Esipenko,andreikka,GM,3004,https://api.chess.com/pub/country/RU,1678473258,1360502176,premium,False,True,Crystal,,,2709,2878,2676,64,81,36,33,3032,2908,52,1466,357,1094,3144,2910,121,885,113,765
https://images.chesscomfiles.com/uploads/v1/user/28435214.6de7dd6c.200x200o.7687f7b89e34.jpeg,28435214,https://api.chess.com/pub/player/antipov_mikhail_al,https://www.chess.com/member/Antipov_Mikhail_Al,Mikhail Antipov,antipov_mikhail_al,GM,139,https://api.chess.com/pub/country/US,1678413173,1464709202,premium,False,True,Elite,,Columbia MO,2594,2609,2582,63,105,33,49,3017,2977,34,2234,316,1319,3012,2881,42,446,40,261
