avatar,player_id,@id,url,name,username,title,followers,country,last_online,joined,status,is_streamer,verified,league,twitch_url,location
https://images.chesscomfiles.com/uploads/v1/user/18800602.e26b721f.200x200o.e738019a328a.jpeg,18800602,https://api.chess.com/pub/player/123lt,https://www.chess.com/member/123lt,Tingjie Lei,123lt,GM,99,https://api.chess.com/pub/country/CN,1674891057,1410059361,premium,False,True,Stone,,
https://images.chesscomfiles.com/uploads/v1/user/10968500.f31e4e06.200x200o.2418d3cb8a26.jpeg,10968500,https://api.chess.com/pub/player/a-fier,https://www.chess.com/member/A-Fier,Alex Fier,a-fier,GM,1280,https://api.chess.com/pub/country/BR,1678292918,1361966117,premium,True,True,Silver,https://twitch.tv/gmalexfier,
https://images.chesscomfiles.com/uploads/v1/user/43428066.c8aab3ca.200x200o.2ee4a34c1c49.jpeg,43428066,https://api.chess.com/pub/player/actorxu,https://www.chess.com/member/ActorXu,Xu Yi,actorxu,GM,412,https://api.chess.com/pub/country/CN,1678454841,1518859208,premium,False,True,Crystal,,Shanghai
https://images.chesscomfiles.com/uploads/v1/user/34686420.2f5d9948.200x200o.e7ac0ff18841.jpg,34686420,https://api.chess.com/pub/player/adham_fawzy,https://www.chess.com/member/Adham_Fawzy,Adham Fawzy,adham_fawzy,GM,1423,https://api.chess.com/pub/country/EG,1678448194,1491891963,premium,False,True,Silver,,Alexandria
https://images.chesscomfiles.com/uploads/v1/user/6179690.a3b2c80b.200x200o.c53fee8ba6e8.png,6179690,https://api.chess.com/pub/player/akshayraj_kore,https://www.chess.com/member/Akshayraj_Kore,Akshayraj Kore,akshayraj_kore,GM,107,https://api.chess.com/pub/country/US,1678467885,1322112601,premium,False,True,Champion,,Ashburn
https://images.chesscomfiles.com/uploads/v1/user/2534106.a23fc73f.200x200o.9619bd05677b.jpeg,2534106,https://api.chess.com/pub/player/alexanderl,https://www.chess.com/member/AlexanderL,Aleksandr Lenderman,alexanderl,GM,1505,https://api.chess.com/pub/country/US,1678495576,1265635556,premium,True,True,Bronze,https://twitch.tv/gmlenderman,New York City
,37093806,https://api.chess.com/pub/player/aleksey_sorokin,https://www.chess.com/member/Aleksey_Sorokin,Aleksey Sorokin,aleksey_sorokin,GM,207,https://api.chess.com/pub/country/US,1678489156,1500279399,premium,False,True,Silver,,Lubbock
https://images.chesscomfiles.com/uploads/v1/user/10322550.a6b5e4ad.200x200o.34f276057c86.jpeg,10322550,https://api.chess.com/pub/player/alexander_donchenko,https://www.chess.com/member/Alexander_Donchenko,Alexander Donchenko,alexander_donchenko,GM,487,https://api.chess.com/pub/country/DE,1678471356,1357497907,premium,False,True,Crystal,,
https://images.chesscomfiles.com/uploads/v1/user/10767030.e0825f66.200x200o.7e9a1d92598d.jpeg,10767030,https://api.chess.com/pub/player/andreikka,https://www.chess.com/member/Andreikka,Andrey Esipenko,andreikka,GM,3004,https://api.chess.com/pub/country/RU,1678473258,1360502176,premium,False,True,Crystal,,
https://images.chesscomfiles.com/uploads/v1/user/28435214.6de7dd6c.200x200o.7687f7b89e34.jpeg,28435214,https://api.chess.com/pub/player/antipov_mikhail_al,https://www.chess.com/member/Antipov_Mikhail_Al,Mikhail Antipov,antipov_mikhail_al,GM,139,https://api.chess.com/pub/country/US,1678413173,1464709202,premium,False,True,Elite,,Columbia MO
https://images.chesscomfiles.com/uploads/v1/user/17534752.eadf1d19.200x200o.3b0e1d95735a.jpeg,17534752,https://api.chess.com/pub/player/antonsmirnov,https://www.chess.com/member/AntonSmirnov,Anton Smirnov,antonsmirnov,GM,1008,https://api.chess.com/pub/country/AU,1677802906,1401705438,premium,False,True,Silver,,Sydney
https://images.chesscomfiles.com/uploads/v1/user/17050352.e2fb0eda.200x200o.fda52c12016b.jpeg,17050352,https://api.chess.com/pub/player/anton_demchenko,https://www.chess.com/member/Anton_Demchenko,Anton Demchenko,anton_demchenko,GM,1648,https://api.chess.com/pub/country/RU,1678474041,1398437024,premium,False,True,Elite,,Novorossiysk
https://images.chesscomfiles.com/uploads/v1/user/28651376.c2ab7264.200x200o.c090debc3c0e.jpeg,28651376,https://api.chess.com/pub/player/annawel,https://www.chess.com/member/Annawel,Jules Moussard,annawel,GM,609,https://api.chess.com/pub/country/FR,1677358421,1466038494,premium,False,True,Crystal,,
https://images.chesscomfiles.com/uploads/v1/user/12541638.f452b107.200x200o.64554ff2d6d1.jpeg,12541638,https://api.chess.com/pub/player/avitalbor,https://www.chess.com/member/AvitalBor,Avital Boruchovsky,avitalbor,GM,187,https://api.chess.com/pub/country/IL,1678216147,1372627048,premium,False,True,Crystal,,Rehovot
https://images.chesscomfiles.com/uploads/v1/user/15027086.54e9c777.200x200o.4ef42e2da349.jpeg,15027086,https://api.chess.com/pub/player/aygehovit1992,https://www.chess.com/member/Aygehovit1992,Nikita Matinian,aygehovit1992,GM,342,https://api.chess.com/pub/country/XX,1678438228,1387029616,premium,False,True,Crystal,,
https://images.chesscomfiles.com/uploads/v1/user/137706882.0ca988e2.200x200o.e0649ae91b4c.jpeg,137706882,https://api.chess.com/pub/player/baku_boulevard,https://www.chess.com/member/Baku_Boulevard,Rauf Mamedov,baku_boulevard,GM,294,https://api.chess.com/pub/country/UA,1678471015,1619594485,premium,False,True,Silver,,
https://images.chesscomfiles.com/uploads/v1/user/2836833.8c895b8c.200x200o.2af9efe86d08.jpeg,2836833,https://api.chess.com/pub/player/barzed,https://www.chess.com/member/barzed,Oliver Barbosa,barzed,GM,464,https://api.chess.com/pub/country/US,1678382282,1274074762,premium,False,True,Silver,,New York
https://images.chesscomfiles.com/uploads/v1/user/26303484.dc192fa5.200x200o.d771643b19ed.jpeg,26303484,https://api.chess.com/pub/player/bigfish1995,https://www.chess.com/member/Bigfish1995,Vladimir Fedoseev,bigfish1995,GM,2925,https://api.chess.com/pub/country/WS,1678468854,1453591623,premium,True,True,Crystal,https://twitch.tv/bigfish1995,Moscow
